clientid,clientsecret,PickupIATA,Pickup,PZip,Pcountry,Pcity,plat,plong,DropIATA,Daddress,Dzip,Dcountry,Dcity,dLat,dlong
uktest,dGVzdF9jbGllbnQ=,,The Westin Mumbai Garden City  Yashodham  Goregaon  Mumbai  Maharashtr,400063,IN,Mumbai,19.1727759,72.8607137,BOM,Chhatrapati S Maharaj Airport,,IN,Mumbai,19.09167,72.86611
pincode,dGVzdF9jbGllbnQ=,DEL,Indira Gandhi Intl Airport,400063,IN,Delhi,28.56667,77.11667,,Sardar Patel Marg  2,110021,IN,New Delhi,28.5950266,77.170952
uktest,dGVzdF9jbGllbnQ=,,The Westin Mumbai Garden City  Yashodham  Goregaon  Mumbai  Maharashtr,400063,IN,Mumbai,19.1727759,72.8607137,BOM,Chhatrapati S Maharaj Airport,110021,IN,Mumbai,19.09167,72.86611
pincode,dGVzdF9jbGllbnQ=,MEX,Benito Juarez Intl Airport,,MX,Mexico City,19.43333,-99.08333,,Av. Paseo de la Reforma  325,6500,MX,Ciudad de México,19.4279395,-99.1671275
uktest,dGVzdF9jbGllbnQ=,MEX,Benito Juarez Intl Airport,,MX,Mexico City,19.43333,-99.08333,,Av. Paseo de la Reforma  325,6500,MX,Ciudad de México,19.4279395,-99.1671275
pincode,dGVzdF9jbGllbnQ=,,Gare d'Avignon TGV  Avignon  France,84000,FR,Avignon,43.9216088,4.7859386,,Rue Jean Vilar  1,84000,FR,Avignon,43.9499357,4.8065958
uktest,dGVzdF9jbGllbnQ=,,Gare d'Avignon TGV  Avignon  France,84000,FR,Avignon,43.9216088,4.7859386,,Rue Jean Vilar  1,84000,FR,Avignon,43.9499357,4.8065958
pincode,dGVzdF9jbGllbnQ=,,Martigny  Switzerland,,CH,Martigny,46.1049798,7.0755334,,Verbier  Verbier  Switzerland,1936,CH,Verbier,46.0937351,7.2333065
uktest,dGVzdF9jbGllbnQ=,,Martigny  gare  Martigny  Switzerland,1920,CH,Martigny,46.1054374,7.0799675,,Verbier  Verbier Switzerland,1936,CH,Verbier,46.0937351,7.2333065
pincode,dGVzdF9jbGllbnQ=,,Verbier  1936 Verbier  Switzerland,1936,CH,Verbier,46.0937351,7.2333065,,1920 Martigny  Switzerland,1936,CH,Martigny,46.1049798,7.0755334
uktest,dGVzdF9jbGllbnQ=,WAW,Frederic Chopin Airport,,PL,Warsaw,52.16667,20.96667,,Romualda Traugutta  21,96-515,PL,Sochaczew,52.2260654,20.2375974
pincode,dGVzdF9jbGllbnQ=,,Romualda Traugutta  21,96-515,PL,Sochaczew,52.2260654,20.2375974,WAW,Frederic Chopin Airport,96-515,PL,Warsaw,52.16667,20.96667
uktest,dGVzdF9jbGllbnQ=,GVA,Geneva International Airport,,CH,Geneva,46.23806,6.10889,,Rue Hoche  23,38000,FR,Grenoble,45.1848103,5.7260818
pincode,dGVzdF9jbGllbnQ=,,Haddon Way  18,LE11 2UE,GB,Loughborough,52.7448031,-1.2110003,EMA,East Midlands Airport,,GB,Nottingham,52.83333,-1.31667
uktest,dGVzdF9jbGllbnQ=,,Sinilille  71,61702,EE,Külitse,58.3277865,26.6139727,TLL,Lennart Meri Airport,,EE,Tallinn,59.41333,24.8325
pincode,dGVzdF9jbGllbnQ=,MRS,Provence Airport,,FR,Marseille,43.43667,5.215,,Saint-Tropez  France,83990,FR,Saint-Tropez,43.2676808,6.6407109
uktest,dGVzdF9jbGllbnQ=,,Haddon Way  Loughborough LE11 2UE  UK,LE11 2UE,GB,Loughborough,52.7444442,-1.2109591,EMA,East Midlands Airport,,GB,Nottingham,52.83333,-1.31667
pincode,dGVzdF9jbGllbnQ=,LAX,Los Angeles Intl Airport,,US,Los Angeles,33.93333,-118.4,SAN,International Airport,,US,SAN Diego,32.73361,-117.1831
uktest,dGVzdF9jbGllbnQ=,LAX,Los Angeles Intl Airport,,US,Los Angeles,33.93333,-118.4,SAN,International Airport,,US,SAN Diego,32.73361,-117.1831
pincode,dGVzdF9jbGllbnQ=,HKT,Phuket Intl Airport,,TH,Phuket,8.13333,98.31667,,SALA Phuket Mai Khao Beach Resort  333 Mai Khao  Thalang District  Phu,83110,TH,Tambon Mai Khao,8.1580102,98.2960664
uktest,dGVzdF9jbGllbnQ=,,Le Méridien Al Khobar  Corniche Boulevard  Al Khobar Saudi Arabia,31952,SA,Al Khobar,26.3016855,50.223614,BAH,Bahrain Intl Airport,,BH,Bahrain,26.26972,50.62611
pincode,dGVzdF9jbGllbnQ=,,Le Méridien Al Khobar  Corniche Boulevard  Al Khobar Saudi Arabia,31952,SA,Al Khobar,26.3016855,50.223614,BAH,Bahrain Intl Airport,,BH,Bahrain,26.26972,50.62611
uktest,dGVzdF9jbGllbnQ=,,Gare d'Avignon TGV  Avignon  France,84000,FR,Avignon,43.9216088,4.7859386,,Rue Jean Vilar  1,84000,FR,Avignon,43.9499357,4.8065958
pincode,dGVzdF9jbGllbnQ=,,4003 Plovdiv  Bulgaria,4003,BG,Plovdiv,42.1789491,24.7499112,SOF,Sofia Airport,,BG,Sofia,42.695,23.40833
uktest,dGVzdF9jbGllbnQ=,TLS,Blagnac Airport,,FR,Toulouse,43.61667,1.38333,,Saint-Martory  France,31360,FR,Saint-Martory,43.143227,0.930699
pincode,dGVzdF9jbGllbnQ=,TLS,Blagnac Airport,,FR,Toulouse,43.61667,1.38333,,Place de la Poste  1,31360,FR,Saint-Martory,43.1404566,0.9271667
uktest,dGVzdF9jbGllbnQ=,JFK,John F Kennedy Intl Airport,,US,New York,40.63861,-73.76194,,Hale Ave  66,10601,US,White Plains,41.0299924,-73.7604761
pincode,dGVzdF9jbGllbnQ=,,Spruce Way  Stafford ST16 2TU  UK,ST16 2TU,GB,Stafford,52.8087093,-2.1285037,MAN,Manchester Airport,,GB,Manchester,53.35,-2.26667
uktest,dGVzdF9jbGllbnQ=,,Cobbetts Ln  60,11964,US,Shelter Island,41.0870876,-72.3261875,LGA,Laguardia Airport,,US,New York,40.77917,-73.88
pincode,dGVzdF9jbGllbnQ=,AUH,International Airport,,AE,Abu Dhabi,24.43278,54.65111,AZI,Grand Millennium Al Wahda - Hazza Bin Zayed the First Street - Abu Dha,,AE,Abu Dhabi,24.4716203,54.3740392
uktest,dGVzdF9jbGllbnQ=,SZB,Sultan Abdul Aziz Shah Airport,,MY,Kuala Lumpur,3.13056,101.5492,,The Saujana  Kuala Lumpur Hotel  Jalan Lapangan Terbang Subang  Saujan,40150,MY,Shah Alam,3.108335,101.577394
pincode,dGVzdF9jbGllbnQ=,,Gare de Lyon  Paris  France,75012,FR,Paris,48.8440967,2.3729842,,Rue de la Forêt  2,77340,FR,Pontault-Combault,48.7776489,2.5890486
uktest,dGVzdF9jbGllbnQ=,,Gare de Lyon  Paris  France,75012,FR,Paris,48.8440967,2.3729842,,Rue de la Forêt  2,77340,FR,Pontault-Combault,48.7776489,2.5890486
pincode,dGVzdF9jbGllbnQ=,,Rue de la Forêt  2,77340,FR,Pontault-Combault,48.7776489,2.5890486,,Gare de Lyon  Paris  France,75012,FR,Paris,48.8440967,2.3729842
uktest,dGVzdF9jbGllbnQ=,,Rue de la Forêt  2,77340,FR,Pontault-Combault,48.7776489,2.5890486,,Paris Gare Du Nord Rail Station,,FR,Paris,48.88083,2.35528
pincode,dGVzdF9jbGllbnQ=,,Rue du Migrainier  16,6600,FR,Antibes,43.5821902,7.1255017,NCE,Cote D Azur Airport,,FR,Nice,43.66528,7.215
uktest,dGVzdF9jbGllbnQ=,AUH,International Airport,,AE,Abu Dhabi,24.43278,54.65111,AZI,Grand Millennium Al Wahda - Hazza Bin Zayed the First Street - Abu Dha,,AE,Abu Dhabi,24.4716203,54.3740392
pincode,dGVzdF9jbGllbnQ=,,Leopold Scheiperslaan  26,2950,BE,Kapellen,51.3542098,4.3989727,CRL,Brussels S Charleroi Airport,1092,BE,Brussels,50.45917,4.45389
uktest,dGVzdF9jbGllbnQ=,WAW,Frederic Chopin Airport,,PL,Warsaw,52.16667,20.96667,,Romualda Traugutta  21,96-500,PL,Sochaczew,52.22607,20.237562
pincode,dGVzdF9jbGllbnQ=,,Romualda Traugutta  21,96-500,PL,Sochaczew,52.22607,20.237562,WAW,Frederic Chopin Airport,,PL,Warsaw,52.16667,20.96667
uktest,dGVzdF9jbGllbnQ=,SEA,Seattle Tacoma Intl Airport,,US,Seattle,47.45,-122.3,,Alderwood Mall Pkwy  18123,98037,US,Lynnwood,47.8340402,-122.2681771
pincode,dGVzdF9jbGllbnQ=,,Zeestraat  35,2518 AA,NL,Den Haag,52.0843236,4.303766,,Aegonplein  6,2591 TV,NL,Den Haag,52.0907242,4.3677439
uktest,dGVzdF9jbGllbnQ=,SDR,Santander Airport,,ES,Santander,43.43333,-3.81667,,Calle Concepción  5,33500,ES,Llanes,43.415733,-4.7528921
pincode,dGVzdF9jbGllbnQ=,JNB,O.R. Tambo Intl Airport,,ZA,Johannesburg,-26.13917,28.24611,,SunSquare Montecasino  Fourways  Johannesburg  South Africa,2021,ZA,Johannesburg,-26.023819,28.015388
uktest,dGVzdF9jbGllbnQ=,MRS,Provence Airport,,FR,Marseille,43.43667,5.215,,Domaine de Verchant  Castelnau-le-Lez  France,34170,FR,Castelnau-le-Lez,43.622389,3.923063
pincode,dGVzdF9jbGllbnQ=,MRS,Provence Airport,,FR,Marseille,43.43667,5.215,,Domaine de Verchant  Castelnau-le-Lez  France,34170,FR,Castelnau-le-Lez,43.622389,3.923063
uktest,dGVzdF9jbGllbnQ=,MRS,Provence Airport,,FR,Marseille,43.43667,5.215,,Domaine de Verchant  Castelnau-le-Lez  France,34170,FR,Castelnau-le-Lez,43.622389,3.923063
pincode,dGVzdF9jbGllbnQ=,ZRH,Zurich Airport,,CH,Zurich,47.46472,8.54917,,Langensandstrasse  27,6004,CH,Luzern,47.0358969,8.3297541
uktest,dGVzdF9jbGllbnQ=,ZRH,Zurich Airport,,CH,Zurich,47.46472,8.54917,,Langensandstrasse  27,6004,CH,Luzern,47.0358969,8.3297541
pincode,dGVzdF9jbGllbnQ=,AMS,Schiphol Airport,,NL,Amsterdam,52.30806,4.76417,HAG,The Hague Airport,,NL,The Hague,52.15,4.28333
uktest,dGVzdF9jbGllbnQ=,AMS,Schiphol Airport,,NL,Amsterdam,52.30806,4.76417,HAG,The Hague Airport,,NL,The Hague,52.15,4.28333
pincode,dGVzdF9jbGllbnQ=,HND,Tokyo Intl Haneda Airport,,JP,Tokyo,35.55,139.7667,,InterContinental Yokohama Grand  1 Chome-1-1 Minatomirai  Nishi Ward ,220-8522,JP,Yokohama-shi,35.4575951,139.6372159
uktest,dGVzdF9jbGllbnQ=,YYZ,Lester B. Pearson Intl Airport,,CA,Toronto,43.68333,-79.63333,,Essa Rd  261,L4N 9C7,CA,Barrie,44.3564062,-79.6996066
pincode,dGVzdF9jbGllbnQ=,,Conrad Tokyo  1 Chome-9 Higashishinbashi  Minato City  Tokyo  Japan,105-0021,JP,Minato City,35.66296,139.7608,NRT,Narita Intl Airport,,JP,Tokyo,35.76528,140.3856
uktest,dGVzdF9jbGllbnQ=,FCO,Fiumicino Airport,,IT,Rome,41.80028,12.23889,ROM,Vicolo del Babuccio  20,187,IT,Roma,41.9002703,12.4842069
pincode,dGVzdF9jbGllbnQ=,FCO,Leonardo da Vinci International Airport (FCO)  Via dell' Aeroporto di,54,IT,Fiumicino,41.7998868,12.2462384,ROM,Vicolo del Babuccio  20,187,IT,Roma,41.9002703,12.4842069
uktest,dGVzdF9jbGllbnQ=,FCO,Leonardo da Vinci International Airport (FCO)  Via dell' Aeroporto di,54,IT,Fiumicino,41.7998868,12.2462384,ROM,Vicolo del Babuccio  20,187,IT,Roma,41.9002703,12.4842069
pincode,dGVzdF9jbGllbnQ=,ROM,Vicolo del Babuccio  20,187,IT,Roma,41.9002703,12.4842069,FCO,Fiumicino Airport,,IT,Rome,41.80028,12.23889
uktest,dGVzdF9jbGllbnQ=,,Rue Jean Vilar  1,84000,FR,Avignon,43.9499357,4.8065958,,Rue Emile Fassin  1,13200,FR,Arles,43.674378,4.628203
pincode,dGVzdF9jbGllbnQ=,,Rue Jean Vilar  1,84000,FR,Avignon,43.9499357,4.8065958,,Rue Emile Fassin  1,13200,FR,Arles,43.674378,4.628203
uktest,dGVzdF9jbGllbnQ=,,Rue Jean Vilar  1,84000,FR,Avignon,43.9499357,4.8065958,,Rue Emile Fassin  1,13200,FR,Arles,43.674378,4.628203
pincode,dGVzdF9jbGllbnQ=,ZRH,Zurich Airport,,CH,Zurich,47.46472,8.54917,,Untere Mühle  1,78250,DE,Tengen,47.813522,8.683278
uktest,dGVzdF9jbGllbnQ=,,Domaine De La Bretesche  La Bretesche  44780 Missillac  France,44780,FR,Missillac,47.4812961,-2.1719982,,Place du Maréchal Leclerc  44500 La Baule-Escoublac  France,44500,FR,La Baule-Escoublac,47.2826614,-2.3921339
pincode,dGVzdF9jbGllbnQ=,,Domaine De La Bretesche  La Bretesche  44780 Missillac  France,44780,FR,Missillac,47.4812961,-2.1719982,,Place du Maréchal Leclerc  44500 La Baule-Escoublac  France,44500,FR,La Baule-Escoublac,47.2826614,-2.3921339
uktest,dGVzdF9jbGllbnQ=,,Domaine De La Bretesche  La Bretesche  44780 Missillac  France,44780,FR,Missillac,47.4812961,-2.1719982,,Place du Maréchal Leclerc  44500 La Baule-Escoublac  France,44500,FR,La Baule-Escoublac,47.2826614,-2.3921339
pincode,dGVzdF9jbGllbnQ=,KTW,Pyrzowice Airport,,PL,Katowice,50.48333,19.08333,,Leona Powolnego  10,45-078,PL,Opole,50.6638033,17.9237463
uktest,dGVzdF9jbGllbnQ=,PHL,Philadelphia Intl Airport,,US,Philadelphia,39.88333,-75.23333,,N Broad St  3340,19140,US,Philadelphia,40.0044523,-75.1527526
pincode,dGVzdF9jbGllbnQ=,LGW,Gatwick Airport,,GB,London,51.15,-0.18333,EXT,Exeter Airport,,GB,Exeter,50.73333,-3.41667
uktest,dGVzdF9jbGllbnQ=,TGD,Podgorica Airport  Golubovci  Montenegro,,ME,Golubovci,42.3678579,19.247673,,Ulcinj  Montenegro,,ME,Ulcinj,41.9310884,19.2147632
pincode,dGVzdF9jbGllbnQ=,VAR,Varna Airport,,BG,Varna,43.23194,27.825,,Varna beach  Bulgaria,,BG,,43.1999561,27.923012
uktest,dGVzdF9jbGllbnQ=,SKP,International Airport,,MK,Skopje,41.96167,21.62139,OHD,St Paul The Apostle Airport,,MK,Ohrid,41.18333,20.75
pincode,dGVzdF9jbGllbnQ=,DBV,Dubrovnik Airport,,HR,Dubrovnik,42.56667,18.26667,,Golden Sands  Bulgaria,,BG,,43.285571,28.0406391
uktest,dGVzdF9jbGllbnQ=,DBV,Dubrovnik Airport,,HR,Dubrovnik,42.56667,18.26667,,Istrie  Croatia,,HR,,45.1286455,13.901542
pincode,dGVzdF9jbGllbnQ=,VAR,Varna Airport,,BG,Varna,43.23194,27.825,,Glicinia Hotel  ???????? ?????  Bulgaria,9007,BG,???????? ?????,43.2858479,28.0350374
uktest,dGVzdF9jbGllbnQ=,VAR,Varna Airport,,BG,Varna,43.23194,27.825,,Varshava Hotel Golden Sands  Varna  Bulgaria,9007,BG,Varna,43.286641,28.0366694
pincode,dGVzdF9jbGllbnQ=,VAR,Varna Airport,,BG,Varna,43.23194,27.825,,Villa Noi  Varna  Bulgaria,9007,BG,Varna,43.3042376,28.0480099
uktest,dGVzdF9jbGllbnQ=,VAR,Varna Airport,,BG,Varna,43.23194,27.825,,Hotel Bellevue Golden Sands  Varna  Bulgaria,9007,BG,?????,43.268613,28.028655
pincode,dGVzdF9jbGllbnQ=,VAR,Varna Airport,,BG,Varna,43.23194,27.825,,Yavor Palace Hotel  Sunny Beach  Bulgaria,8240,BG,Sunny Beach,42.6936185,27.7102934
uktest,dGVzdF9jbGllbnQ=,VAR,Varna Airport,,BG,Varna,43.23194,27.825,,Hotel Shipka  Varna  Bulgaria,9007,BG,Varna,43.2794119,28.0394349
pincode,dGVzdF9jbGllbnQ=,BZZ,Raf Station Airport,,GB,Brize Norton,51.75,-1.58333,,Oxford Witney Hotel  Ducklington Lane  Witney  UK,OX28 4EX,GB,Witney,51.7739514,-1.4899674
uktest,dGVzdF9jbGllbnQ=,BZZ,Raf Station Airport,,GB,Brize Norton,51.75,-1.58333,,Oxford Witney Hotel  Ducklington Lane  Witney  UK,OX28 4EX,GB,Witney,51.7739514,-1.4899674
pincode,dGVzdF9jbGllbnQ=,AUH,International Airport,,AE,Abu Dhabi,24.43278024,54.65110978,AZI,Hazaa Bin Zayed  First Street-al Wahda Complex  Abu Dhabi  United Arab Emirates,,AE,Abu Dhabi,24.47126152,54.37382117
uktest,dGVzdF9jbGllbnQ=,EZE,Pistarini Airport,,AR,Buenos Aires,-34.82222026,-58.53582768,,Suipacha 1036    Buenos Aires  Argentina,01419-001,AR,Buenos Aires,-34.59603513,-58.37991495
pincode,dGVzdF9jbGllbnQ=,NCE,Cote D Azur Airport,,FR,Nice,43.66527984,7.21500032,,12 Avenue Des Spelugues  Monte Carlo  Bp 179 Mc Monaco  98000,,MC,Monte Carlo,43.74008748,7.430061633
uktest,dGVzdF9jbGllbnQ=,FCO,Fiumicino Airport,,IT,Rome,41.80027961,12.23888962,,Via Gioberti 36  00185 Rome  Italy,,IT,Rome,41.89862409,12.5004944
pincode,dGVzdF9jbGllbnQ=,LCA,Larnaca Airport,,CY,Larnaca,34.87500054,33.62472076,ECN,Ercan Airport,,CY,Ercan,35.15972039,33.48832871
uktest,dGVzdF9jbGllbnQ=,LCA,Larnaca Airport,,CY,Larnaca,34.87500054,33.62472076,ECN,Ercan Airport,,CY,Ercan,35.15972039,33.48832871
pincode,dGVzdF9jbGllbnQ=,LCA,Larnaca Airport,,CY,Larnaca,34.87500054,33.62472076,ECN,Ercan Airport,,CY,Ercan,35.15972039,33.48832871
uktest,dGVzdF9jbGllbnQ=,LCA,Larnaca Airport,,CY,Larnaca,34.87500054,33.62472076,ECN,Ercan Airport,,CY,Ercan,35.15972039,33.48832871
pincode,dGVzdF9jbGllbnQ=,YYZ,Lester B. Pearson Intl Airport,,CA,Toronto,43.68332861,-79.63333263,,261 Essa Road    Barrie  L4n 9c7,,CA,Barrie (on),44.35088398,-79.70033678
uktest,dGVzdF9jbGllbnQ=,,Island Dr  3670,28460,US,North Topsail Beach,34.473743,-77.4601212,OAJ,A J Ellis Airport,,US,Jacksonville,34.70833027,-77.43972175
pincode,dGVzdF9jbGllbnQ=,,Villeneuve-lès-Avignon  France,,FR,Villeneuve-lès-Avignon,43.96341,4.796959,,1 Rue Emile Fassin Les Lices  13200 Arles  France,,FR,Arles,43.67444253,4.62811313
uktest,dGVzdF9jbGllbnQ=,ZRH,Zurich Airport,,CH,Zurich,47.46471941,8.549170199,,Zurich Hbf Railway Station,,CH,Zurich,47.37942742,8.540108246
pincode,dGVzdF9jbGllbnQ=,ZRH,Zurich Airport,,CH,Zurich,47.46471941,8.549170199,,Zurich Hbf Railway Station,,CH,Zurich,47.37942742,8.540108246
uktest,dGVzdF9jbGllbnQ=,ZRH,Zurich Airport,,CH,Zurich,47.46471941,8.549170199,,Zurich Hbf Railway Station,,CH,Zurich,47.37942742,8.540108246
pincode,dGVzdF9jbGllbnQ=,,World Way  1,90045,US,Los Angeles,33.9415889,-118.40853,,13399 Ohio 15 Holiday City Oh 43543,,US,Holiday City (oh),41.60711844,-84.55681985
uktest,dGVzdF9jbGllbnQ=,ZRH,Zurich Airport,,CH,Zurich,47.46471941,8.549170199,,Zurich Hbf Railway Station,,CH,Zurich,47.37942742,8.540108246
pincode,dGVzdF9jbGllbnQ=,,Zurich Main Station  Bahnhofplatz  Zürich  Switzerland,8001,CH,Zürich,47.3784045,8.5384033,ZRH,Zurich Airport,,CH,Zurich,47.46471941,8.549170199
uktest,dGVzdF9jbGllbnQ=,,Lucerne Railway Station,8001,CH,Lucerne,47.04948147,8.310442281,ZRH,Zurich Airport,,CH,Zurich,47.46471941,8.549170199
pincode,dGVzdF9jbGllbnQ=,DTW,Metropolitan Wayne Co Airport,,US,Detroit,42.21193852,-83.3486072,,27355 Cabaret Drive    Novi  48377,,US,Novi (mi),42.49200019,-83.48700049
uktest,dGVzdF9jbGllbnQ=,,27355 Cabaret Drive    Novi  48377,,US,Novi (mi),42.49200019,-83.48700049,DTW,Metropolitan Wayne Co Airport,,US,Detroit,42.21193852,-83.3486072
pincode,dGVzdF9jbGllbnQ=,,27355 Cabaret Drive    Novi  48377,,US,Novi (mi),42.49200019,-83.48700049,DTW,Metropolitan Wayne Co Airport,,US,Detroit,42.21193852,-83.3486072
uktest,dGVzdF9jbGllbnQ=,ATL,Hartsfield-jackson Int Airport,,US,Atlanta,33.64999929,-84.43333003,,7500 North Point Parkway  Alpharetta  Ga 30022  Usa,,US,Alpharetta (ga),34.04090467,-84.30368621
pincode,dGVzdF9jbGllbnQ=,,North Point Center E  100,30022,US,Alpharetta,34.04545,-84.299083,ATL,Hartsfield-jackson Int Airport,,US,Atlanta,33.64999929,-84.43333003
uktest,dGVzdF9jbGllbnQ=,,North Point Center E  100,30022,US,Alpharetta,34.04545,-84.299083,ATL,Hartsfield-jackson Int Airport,,US,Atlanta,33.64999929,-84.43333003
pincode,dGVzdF9jbGllbnQ=,,Haddon Way  18,LE11 2UE,GB,Loughborough,52.7448031,-1.2110003,EMA,East Midlands Airport,,GB,Nottingham,52.83333006,-1.316669974
uktest,dGVzdF9jbGllbnQ=,MOW,Moscow,,RU,Moscow,55.74999842,37.70000094,,Voznesenskiy Pereulok 7 Moscow  125009 Russian Federation,,RU,Moscow,55.75803414,37.60390359
pincode,dGVzdF9jbGllbnQ=,,Villeneuve-lès-Avignon  France,,FR,Villeneuve-lès-Avignon,43.96341,4.796959,,1 Rue Emile Fassin Les Lices  13200 Arles  France,,FR,Arles,43.67444253,4.62811313
uktest,dGVzdF9jbGllbnQ=,RFD,Chicago Rockford Intl Airport,,US,Chicago,42.19999935,-89.10000214,,505 North State Street Chicago,,US,Chicago (il),41.8915685,-87.62758411
pincode,dGVzdF9jbGllbnQ=,PHL,Philadelphia Intl Airport,,US,Philadelphia,39.88332896,-75.23333159,,701 Penn Street,,US,Reading (pa),40.3352416,-75.92359734
uktest,dGVzdF9jbGllbnQ=,,1-1 Minatomirai Nishi-ku  Nishi-ku   Yokohama  220 8522,,JP,Kanagawa,35.45760202,139.6371797,,NISSAN STADIUM  3300 Kozukuecho  Kohoku Ward  Yokohama  Kanagawa  Japa,222-0036,JP,Yokohama-shi,35.5099461,139.6063937
pincode,dGVzdF9jbGllbnQ=,MSQ,Minsk 2 International Airport,,BY,Minsk,53.88249834,28.03082998,VTB,Vitebsk Airport,,BY,Vitebsk,55.13333138,30.3666693
uktest,dGVzdF9jbGllbnQ=,MAN,Manchester Airport,,GB,Manchester,53.34999972,-2.266669993,,Carden    Chester Ch3 9dq  Cheshire United Kingdom,,GB,Chester,53.07409764,-2.807998984
pincode,dGVzdF9jbGllbnQ=,PVG,Pudong Intl Airport,,CN,Shanghai,31.14389018,121.791398,,No.1388 Hua Mu Road Pudong  Shanghai,,CN,Shanghai,31.2150266,121.5591443
uktest,dGVzdF9jbGllbnQ=,PVG,Pudong Intl Airport,,CN,Shanghai,31.14389018,121.791398,,No.1388 Hua Mu Road Pudong  Shanghai,,CN,Shanghai,31.2150266,121.5591443
pincode,dGVzdF9jbGllbnQ=,,8555 Beverly Blvd,,US,West Hollywood (ca),34.07602892,-118.3772733,LAX,Los Angeles Intl Airport,,US,Los Angeles,33.93332919,-118.4000042
uktest,dGVzdF9jbGllbnQ=,,2001 Post Oak Blvd  77056  Houston  Texas  Usa,,US,Houston (tx),29.74588365,-95.45984399,,Houston Ave  3900,77007,US,Houston,29.7772686,-95.3724418
pincode,dGVzdF9jbGllbnQ=,YHM,Hamilton Jc Munro Intl Airport,,CA,Toronto,43.1666692,-79.9333282,YYZ,Lester B. Pearson Intl Airport,,CA,Toronto,43.68332861,-79.63333263
uktest,dGVzdF9jbGllbnQ=,,High Rd  200,IP11 0SP,GB,Trimley Saint Mary,51.9846889,1.3142415,LHR,Heathrow Airport,,GB,London,51.47749994,-0.461390004
pincode,dGVzdF9jbGllbnQ=,,High Rd  200,IP11 0SP,GB,Trimley Saint Mary,51.9846889,1.3142415,LHR,Heathrow Airport,,GB,London,51.47749994,-0.461390004
uktest,dGVzdF9jbGllbnQ=,,High Road  Trimley Saint Mary  Felixstowe IP11 0SP  UK,IP11 0SP,GB,Trimley Saint Mary,51.9834502,1.3142299,LHR,Heathrow Airport,,GB,London,51.47749994,-0.461390004
pincode,dGVzdF9jbGllbnQ=,,High Road  Trimley Saint Mary  Felixstowe IP11 0SP  UK,IP11 0SP,GB,Trimley Saint Mary,51.9811219,1.3175299,LHR,Heathrow Airport,,GB,London,51.47749994,-0.461390004
uktest,dGVzdF9jbGllbnQ=,,Glasgow Central Station  Gordon Street  Glasgow  UK,G1 3SL,GB,Glasgow,55.8591118,-4.2581088,,Edinburgh Waverley Railway Station,,GB,Edinburgh,55.952032,-3.189987985
pincode,dGVzdF9jbGllbnQ=,,Villeneuve-lès-Avignon  France,,FR,Villeneuve-lès-Avignon,43.96341,4.796959,,1 Rue Emile Fassin Les Lices  13200 Arles  France,,FR,Arles,43.67444253,4.62811313
uktest,dGVzdF9jbGllbnQ=,,Villeneuve-lès-Avignon  France,,FR,Villeneuve-lès-Avignon,43.96341,4.796959,,1 Rue Emile Fassin Les Lices  13200 Arles  France,,FR,Arles,43.67444253,4.62811313
pincode,dGVzdF9jbGllbnQ=,,Villeneuve-lès-Avignon  France,,FR,Villeneuve-lès-Avignon,43.96341,4.796959,,1 Rue Emile Fassin Les Lices  13200 Arles  France,,FR,Arles,43.67444253,4.62811313
uktest,dGVzdF9jbGllbnQ=,,Rue de la République  58,30400,FR,Villeneuve-lès-Avignon,43.9659993,4.7962975,,1 Rue Emile Fassin Les Lices  13200 Arles  France,,FR,Arles,43.67444253,4.62811313
pincode,dGVzdF9jbGllbnQ=,,Congress Road  Glasgow  Glasgow  G3 8qt,,GB,Glasgow And Surroundings,55.8597015,-4.290364971,,Edinburgh Waverley Railway Station,,GB,Edinburgh,55.952032,-3.189987985
uktest,dGVzdF9jbGllbnQ=,DEL,Indira Gandhi Intl Airport,,IN,Delhi,28.56667027,77.11666747,,The Imperial New Delhi  Janpath Lane  Janpath  Connaught Place  New De,110001,IN,New Delhi,28.625557,77.218068
pincode,dGVzdF9jbGllbnQ=,DEL,Indira Gandhi Intl Airport,,IN,Delhi,28.56667027,77.11666747,,The Imperial New Delhi  Janpath Lane  Janpath  Connaught Place  New De,110001,IN,New Delhi,28.625557,77.218068
uktest,dGVzdF9jbGllbnQ=,,28 Hubin Road  Xihu District  Hangzhou  China,,CN,Hangzhou,30.25464736,120.1617012,HGH,Xiaoshan Intl Airport,110001,CN,Hangzhou,30.22945079,120.4344444
pincode,dGVzdF9jbGllbnQ=,TUN,Carthage Airport,,TN,Tunis,36.85000097,10.23333007,NBE,Enfidha-Hammamet International Airport  Enfidha  Tunisia,,TN,Enfidha,36.0831048,10.4387347
uktest,dGVzdF9jbGllbnQ=,TUN,Carthage Airport,,TN,Tunis,36.85000097,10.23333007,,Résidence Les Violettes  Tunisia,,TN,,36.870039,10.2360158
pincode,dGVzdF9jbGllbnQ=,PMI,Palma Mallorca Airport,,ES,Palma Mallorca,39.55166863,2.738890062,,Calle Mitja Lluna 4 07015 San Agustín Palma De Mallorca,,ES,Cala Mayor,39.55408652,2.599231904
uktest,dGVzdF9jbGllbnQ=,CCU,Subhas Chandra Bose Airport,,IN,Kolkata,22.63332933,88.43332786,,Cf 11 Action Area 1c  New Town Rajarhat,,IN,Kolkata,22.57960477,88.46142043
